N,naive_time,rabin_time
1000,0.11995148658752441,0.4636073112487793
2000,0.5116581916809082,1.8552196025848389
3000,1.2398557662963867,4.215670585632324
4000,2.0068395137786865,7.606092929840088
5000,5.997799634933472,22.714465618133545
8000,14.307452917098999,54.304632902145386
